Judge 01	judge1@hacktj.org	18	3	52	10	25	21
Judge 02	judge2@hacktj.org	42	9	28	16	49	26
Judge 03	judge3@hacktj.org	28	5	26	32	35	36
Judge 04	judge4@hacktj.org	53	47	25	27	44	16
Judge 05	judge5@hacktj.org	5	8	27	34	11	22
Judge 06	judge6@hacktj.org	15	24	4	18	54	6
Judge 07	judge7@hacktj.org	41	37	31	51	23	49
Judge 08	judge8@hacktj.org	7	30	34	17	14	35
Judge 09	judge9@hacktj.org	37	9	42	32	8	27
Judge 10	judge10@hacktj.org	42	8	39	32	43	50
Judge 11	judge11@hacktj.org	13	40	54	58	33	44
Judge 12	judge12@hacktj.org	22	40	33	2	6	51
Judge 13	judge13@hacktj.org	21	23	12	46	31	13
Judge 14	judge14@hacktj.org	13	23	24	37	50	19
Judge 15	judge15@hacktj.org	7	26	3	54	14	19
Judge 16	judge16@hacktj.org	43	1	14	17	52	16
Judge 17	judge17@hacktj.org	39	1	30	45	53	36
Judge 18	judge18@hacktj.org	30	29	10	12	34	36
Judge 19	judge19@hacktj.org	29	7	45	12	11	5
Judge 20	judge20@hacktj.org	15	9	11	33	44	41
Judge 21	judge21@hacktj.org	21	6	17	2	35	45
Judge 22	judge22@hacktj.org	46	3	1	47	50	28
Judge 23	judge23@hacktj.org	2	19	48	20	29	52
Judge 24	judge24@hacktj.org	22	18	15	51	25	49
Judge 25	judge25@hacktj.org	39	20	53	10	52	46
Judge 26	judge26@hacktj.org	41	8	38	4	47	34
